identifier,hierarcylevel,type,prefLabel,altLabel,translation,description,parent,related,source,creator,closeMatch,relatedMatch,seeAlso 
CGGB4G,7,Q2,Feldspat,,,"eine der häufigsten gesteinsbildenden Mineralgruppe der Erdkruste, bestehend aus Alumosilikaten und unterschiedlichen Anteilen von Kalium, Natrium, Calcium und Barium. Die Farbigkeit reicht von weiß, grau bis rötlich, gelblich oder grünlich, je nach Zusammensetzung und Einschlüssen. Feldspatvertreter zeigen einen Glas- bis Perlmuttglanz auf den Spaltflächen, eine Mohshärte von 6 und rot bis violett-blaue Lumineszenz unter UV-Licht. ",BGC9F3,,https://www.mineralienatlas.de/lexikon/index.php/Mineralienportrait/Feldspat| DIN EN 12670,LEIZA,,,
F68381,7,Q2,Jadeit,Chloromelanit| Jade,,"natrium- und aluminiumreiches Mineral aus der Pyroxengruppe mit oft grün, weiß, gelblich oder violetter Färbung. Jadeit bildet dichte, feinkörnige Aggregate, die außergewöhnlich hart und zäh sind (Härte 6,5 - 7 auf der Mohs-Skala). Jadeit ist ein wichtiger Bestandteil des metamorphosen Gesteins Jade, einem Sammelbegriff, der auch Nephrit umfasst. Aufgrund seiner Härte und Ästhetik wurde Jadeit historisch für Schmuck und Werkzeuge verwendet und besitzt große kulturelle Bedeutung, insbesondere in ostasiatischen und mesoamerikanischen Kulturen.",BGC9F3,,https://www.mineralienatlas.de/lexikon/index.php/Mineralienportrait/Pyroxene/Jadeit| https://www.mineralienatlas.de/lexikon/index.php/MineralData?mineral=Jadeit ,LEIZA,,,
FA5484,7,Q2,Amphibol,,,"Gruppe von Eisen-Magnesium-Silikatmineralen mit mittlerer Härte. Die Färbung ist meit dunkel, von grün bis schwarzer Farbe. Die Färbung hängt dabei vor allem vom Eisen-Gehalt der Mineralie ab. Die Spaltflächen der Amphibole zeigen sich oft mit einem Glas- oder Perlmuttglanz, während die nadeligen, faserartigen Formen von einem seidigen Glanz sind. Amphibole kommen in vielen magmatischen und metamorphosen Gesteinen vor, wie z. B in Graniten, Dioriten und vor allem in den Amphiobioliten.",BGC9F3,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 68 - 71.| DIN EN 12670",LEIZA,,,
A43C59,8,Q2,Hornblende,,,"dunkelgrüne bis schwarzes, calciumhaltiges Minerale der Amphibol-Gruppe, mit den Bestandteilen Aluminiumoxid und/oder Eisenoxid. ",FA5484,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 68 - 71.| DIN EN 12670",LEIZA,,,
D8B5C3,7,Q2,Gips (Mineral),Selenite,,"weiches Mineral aus wasserhaltigem Kalziumsulfat. Es ist in der Regel farblos bis weiß, durch enthaltene Verunreinigungen können jedoch auch grau, gelb, rötliche bis braun, schwarze Färbungen auftreten. Gips zeigt eine äußerst geringe Härte, sodass er bereits mit dem Fingernagel geritzt werden kann. Gips kommt als Mineral häufig in Sedimentgesteinen oder auch in Seeablagerungen oder Tonen vor, darüber hinaus tritt er als Eindampfungsprodukt auch in reiner Form (Gips-Gestein) auf. ",BGC9F3,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 102.| https://www.mineralienatlas.de/lexikon/index.php/MineralData?mineral=Gips|DIN EN 12670",LEIZA,,,
D1GC4D,8,Q2,Alabaster,,,"Varietät des Gipses mit fester und feinkörniger Struktur und in der Regel heller bis weißer Farbe. Im allgemeinen Sprachgebrauch wird auch eine sehr ähnlich aussehende Varietät des Calcit (Kalksinter) als Alabaster (""antiker od. ägyptischer Alabaster"") bezeichnet. Echter Alabaster aus Calciumsulfat ist sehr weich und anfällig gegenüber Wasser, während Calcit-Alabaster wasserunlöslich und härter ist. ",D8B5C3,,"DIN EN 12670| https://www.mineralienatlas.de/lexikon/index.php/MineralData?mineral=Alabaster| Günther Mehling. Naturstein-Lexikon (München 1981), S. 17.| https://www.mindat.org/min-90.html ",LEIZA,"https://cameo.mfa.org/wiki/Alabaster
https://cameo.mfa.org/wiki/Egyptian_alabaster ",,
B452DG,7,Q2,Malachit,,,"sekundäres Kupfermineral mit der chemischen Zusammensetzung Cu2CO3(OH)2. Es gehört zur Gruppe der Carbonate mit Hydroxidionen und entsteht häufig als Verwitterungsprodukt von Kupfererzen in der Oxidationszone. Typisch für Malachit ist seine intensive grüne Farbe, die von hellgrün bis dunkelgrün variieren kann, sowie seine oft konzentrisch gebänderte oder massige Struktur. Es hat eine Mohs-Härte von 3,5–4 und wird seit der Antike für Schmuck, Dekoration und Pigmente verwendet.",BGC9F3,,https://www.mineralienatlas.de/lexikon/index.php/MineralData?mineral=Malachit| https://www.mineralienatlas.de/lexikon/index.php/Mineralienportrait/Malachit ,LEIZA,,,
D1788D,7,Q2,Dolomit (Mineral),,,"karbonatisches Mineral, das hauptsächlich aus Kalzium-Magnesium-Carbonat besteht. Es zeigt in der Regel eine weiß bis gräuliche Farbe, durch Verunreinigungen treten auch Färbungen von rötlich, braun, grau oder schwarz auf. Darüber hinaus zeigt das Mineral einen glas- bis perlmuttartigen Glanz und tritt sowohl durchscheinend als auch opak auf. ",BGC9F3,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 99.| DIN EN 12670",LEIZA,,,
D74F9D,7,Q2,Granat,,,"Gruppe von Silikatmineralen mit unterschiedlicher chemischer Zusammensetzung aus zweiwertigen Ionen, wie Ca, Mg, Fe, Mn und dreiwertigen, wie Al, Fe3+ oder Cr. Je nach Kombination ergeben sich verschiedene Varietäten, mit eigenen Trivialnamen, sowie Mischkristalle zwischen diesen. Granate kommen häufig als Nebengemengeteil in metamorphosen Gesteinen vor, zum Beispiel in Glimmerschiefer, Hornblenscheifer, Peridotit und Serpentinit.",BGC9F3,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 74/75.| DIN EN 12670",LEIZA,,,
B3BCB6,8,Q2,Almandin,,,"häufigstes Mineral der Granatgruppe mit chemischer Zusammensetzung Fe3Al2(SiO4)3. Almandin zeichnet sich durch eine tiefrote bis violettrote Farbe aus, eine hohe Härte (6,5–7,5 auf der Mohs-Skala) und seine typischen isometrischen Kristalle. Es entsteht vorwiegend in metamorphen Gesteinen wie Glimmerschiefern oder Gneisen unter hohem Druck und Temperatur. Aufgrund seiner Härte und intensiven Farbe wird Almandin seit der Antike als Schmuckstein geschätzt und auch als Schleifmittel verwendet.
 ",D74F9D,,https://www.mineralienatlas.de/lexikon/index.php/MineralData?mineral=Almandin |  https://www.mineralienatlas.de/lexikon/index.php/Mineralienportrait/Granat/Almandin ,LEIZA,,,
A42FG3,7,Q2,Lapislazuli,,,"Mineralgemisch aus primär Calcit, Lasurit, Diopsid und anderen Beimengungen, mit mittlerer Härte (Mohs-Härte 5 - 6). Lapislazuli zeichnet sich durch seine tiefblaue bis azurblaue Farbe aus, oft mit goldenen Pyriteinschlüssen, die ihm ein einzigartiges Erscheinungsbild verleihen. Seit Jahrtausenden wird Lapislazuli als Schmuckstein, in Kunstgegenständen und als Pigment („Ultramarin“) verwendet, insbesondere in Kulturen wie der altägyptischen, mesopotamischen und mittelalterlichen europäischen Kunst.",BGC9F3,,https://www.mineralienatlas.de/lexikon/index.php/MineralData?mineral=Lapislazuli ,LEIZA,,,
F9GC9A,7,Q2,Tonminerale,,,"Gruppe von Mineralen, die hauptsächlich aus Aluminium-Silikaten, mit vereinzelten weiteren Bestandteilen, wie Eisen, Magnesium oder Kalium, bestehen. Sie bilden dichte, bröckelige oder mehlige Massen und fühlen sich zwischen den Fingern zerrieben seifig, fettig an. Typische Merkmale der Tonminerale sind die plättchenartige Struktur mit blättriger Kristallform, sowie ein charakteristisch erdiger Geruch im feuchten Zustand. Wie der Name bereits vermuten lässten, bilden diese Mineral die Hauptbestandteil von Tonen. ",BGC9F3,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 62.| DIN EN 12670",LEIZA,,,
CA53A2,8,Q2,Kaolinit ,,,"häufig in der Natur vorkommendes Tonmineral mit der chemischen Zusammensetzung Al₂Si₂O₅(OH)₄. Es entsteht hauptsächlich durch die Verwitterung feldspathaltiger Gesteine und kristallisiert in dünnen Blättchen oder Schuppen als Schichtsilikat. Die Farbigkeit ist meist weiß, aber auch braune, gelbe oder graue Färbungen sind möglich. Es besitzt eine feinkörnige Struktur, ist Hauptbestandteil von Kaolin und wurde typischerweise für die Herstellung von Keramik oder als Füllstoff für verschiedene technologische Prozesse verwendet. ",F9GC9A,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 62/63.| DIN EN 12670",LEIZA,,,
D71467,8,Q2,Illit,,,"Schichtsilikat der Glimmergruppe, das durch umfassende Verwitterungsprozesse Wasser in sein Kristallgitter eingebaut hat und somit zu den sog. ""Hydroglimmern"" gehört. Illit tritt in der Regel in weißlich bis grün-gräulicher Färbung auf, zeigt einen perlmuttartigen Glanz und die typische plättchenartige Struktur der Tonminerale. Es erscheint vorrangig in Sedimentgesteinen, wie Mergeln, Tonstein oder Schieferton.",F9GC9A,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 62/63.| DIN EN 12670",LEIZA,,,
D866AD,6,Q2,Gestein,Stein,stone@en,"mehr oder weniger verfestigter Werkstoff aus mikroskopisch heterogenen Gemengen von Mineralen, Gesteinsbruchstücken, organischen und/oder anorganischen Ausscheidungen und Wasser (Kristallwasser). Hauptgemengeteile bilden Minerale wie Silikate (Feldspat, Quarz, Glimmer, etc.) und Karbonate (Calcit, Dolomit, etc.). Stein findet im Bereich historischer Kulturgüter in der Verwendung als Statuen, Schmuck, Gefäßen, und Bauteilen. Je nach Zusammensetzung sind Gesteine mehr oder weniger anfällig für umgebungsbedingten Zerfall, so können z.B. Schadstoffe aus der Luft ebenso wie Salze und andere Bodenbestandteile Zerfallsprozesse an der Oberfläche von Steinobjekten hervorrufen. ",GB6DF3,,"Barbara Stuart, Analytical Techniques in Materials Conservation (West Sussex 2007).",LEIZA,"https://cameo.mfa.org/wiki/Stone
https://www.wikidata.org/wiki/Q8063
https://cameo.mfa.org/wiki/Rock",http://vocab.getty.edu/page/aat/300011176,
DF7826,7,Q2,Magmatit,magmatisches Gestein| Erstarrungsgestein,,"Überbegriff für Gesteine, die aus Erstarrung einer Gesteinsschmelze entstehen. ",D866AD,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 124.| DIN EN 12670",LEIZA,,,
B14489,8,Q2,Tuff,,,"aus der Umwandlung der losen Pyroklasten (klastisches Auswurfmaterial aus Vulkanen) durch Druck und/oder Zementierung entstandenes Festgestein. Die Gesteinsmatrix kann, ähnlich wie bei den Sedimentgesteinen, aus verschiedenen mit einander verkitteten Mineralien, wie z.B. Calcit oder Quarz, bestehen und wird mit Hilfe des Grundwassers ausgeschieden. Tuffe zeichnen sich durch eine poröse, wasserdurchlässige Struktur sowie starke Umwandlungserscheinungen, wie Silifizierung, Entglasung der Glasbestandteile und chemische Verwitterung, aus",DF7826,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 197.",LEIZA,,,
F646B4,8,Q2,Granit,,granite@en,"körniges Tiefengestein mit Quarzanteil von mehr als 20% und weiteren Bestandteilen aus Feldspat, Biotit und Hornblende. Die Farbigkeit wird allgemein als Hell beschrieben, wobei je nach mineralogischer Zusammensetzungen Abstufungen zwischen weißlich-grau, über rose-rot bis dunkelgrau-schwarz sowie gesprenkelte oder geflecke Texturen zu beobachten sind.",DF7826,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995) S. 145 - 150.| DIN EN 12670",LEIZA,,,
CDB814,8,Q2,Diorit,,diorite@en,"magmatisches Tiefengestein mit Plagioklas-Feldspat als Hauptbestandteil. Zeigt häufig eine grauschwarze bis grünlich-graue Färbung, wobei die Zusammensetzung aus weißlich-grauen Feldspäten und dunklen grünlich-schwarzen Hornblende- und/oder Biotit-Beimengungen zu einem gefleckten/gesprenkeltes Erscheinungsbild führen kann. Die Textur wird als körnig beschrieben, bei der die Minerale mit bloßem Auge erkennbar sind. ",DF7826,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995),S. 157 - 161.| DIN EN 12670",LEIZA,,,
D9B246,8,Q2,Basalt,,,"vulkanisches Gestein mit den mineralischen Hauptbestandteilen Plagioklas, Pyroxen und Olivin. Das Gestein zeig sich in der Regel in dunkle Färbung und eine feinkörnige Textur. Basalt ist das häufigste Gestein der ozeanischen Kruste",DF7826,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 177 - 184.| DIN EN 12670",LEIZA,,,
B12CB4,8,Q2,Gesteinsglas,,,"natürliches, glasartiges Gestein, das durch die rasche Abkühlung einer Schmelze, ohne Ausbildung von Kristallen, entsteht.",DF7826,DA2D73,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 185.",LEIZA,,,
B21C51,9,Q2,Obsidian,,,"vulkanisches Gesteinsglas aus Siliziumdioxid mit glasartig-homogener aber auch schlackig-blasiger Oberfläche. Die Färbung reicht von dunkelgrau bis annähernd schwarz über rot bis dunkel rot-braun. Obsidian zeichnet sich durch seinen charakteristisch muscheligen, scharfkantigen Bruch aus und wurde daher bereits in der Steinzeit für Werkzeuge und Waffen verwendet. ",B12CB4,DA2D73,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 185 - 189.",LEIZA,,,
CCBB4G,9,Q2,Perlit,Perlstein,,"vulkanisches Gesteinsglas mit charakteristischem, perlartigen Aussehen, welches auf zentimetergroßen konzentrisch-schaligen Glaskügelchen in der Matrix zurückzuführen ist. Die Farbigkeit kann von grau, grün, bläulich über rötlich, braun bis hin zu farblos reichen. ",B12CB4,DA2D73,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 189 - 191.",LEIZA,,,
D51GA5,9,Q2,Bimsstein,,,"schaumiges Gesteinsglas, bestehend aus subparallel verflochtenen Glasfasern, welche Hohlräume einschließen oder um Einsprenglinge herum führen. Das Gesteinsglas zeigt greuweiße, gelbliche, braune, hellgraue bis fast schwarze oder seltener rötliche Farbnuanzen. Seine Struktur ist deutlich porös und leicht, wodurch er in der Lage ist auf dem Wasser zu schwimmen. ",B12CB4,DA2D73,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 191.",LEIZA,,,
C7BG27,9,Q2,Schlacke,,,"poröses, festes Material aus der Abkühlung und Erstarrung geschmolzener basaltischer Gesteine auf der Oberseite von Lavaströmen. Ähnelt von der Textur und Struktur dem Bimsstein, ist jedoch deutlich schwerer und von dunklerer Farbe als dieser. Schlacke zählt nur bedingt zu den natürlichen Gesteinen, da es neben vulkanischen Ereignissen auch als Nebenprodukt technologischer Prozesse wie der Metallurgie entstehen kann.",B12CB4,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 337.",LEIZA,,,
C7F346,7,Q2,Sedimentgestein,Sedimentit| sedimentäres Gestein,,"Überbegriff für Gesteine, die mittels Diagenese durch Verwitterung, Abtragung, Zerfall anderer Gesteine und deren sekundäre Ablagerung auf der Erdoberfläche entstehen. Auch Gesteine die durch chemische Ausfällung oder von Organismen aufgebaut werden, zählen zur Gruppe der Sedimentgesteine.",D866AD,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995),S. 203 - 210.",LEIZA,,,
F2B8B7,8,Q2,Feuerstein,Flint,,"hartes Sedimentgestein, hauptsächlich bestehend aus feinkörnigem Quarz. Feuerstein bildet sich durch chemische Ausfällung von Siliziumdioxid in marinen Umgebungen und findet sich häufig lagenweise in Kalksteinen oder Kreideschichten. Die Farbe ist meist dunkelgrau bis schwarz und häufig von einer hellen Rinde umgeben. Der Bruch des Feuerstein ist schwarfkantig, muschelig, wesswegen er bereits früh in der Menschheitsgeschichte für Werkzeuge und Waffen verwendet wurde. Der Namensgebung entsprechend zeichnet sich Feuerstein durch seine Eigenschaft der Funkenerzeugung, bei harten Schlägen gegeneinander oder gegen andere harte Materialien, aus. ",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 252/253.",LEIZA,,,
DD91F6,8,Q2,Sandstein,,,"klastisches Sedimentgestein aus in einer feinen Matrix eingebetteten Sandkörnern, die sich durch das Ausfüllen der Zwischenräume mit Bindemitteln wie Kalk, Ton oder Siliziumdioxid verfestigt haben. Die Farbigkeit von Sandsteinen ist vielfältig von weiß, hellgrau, gelblich über rötlich, gelblich-braun bis seltener auch grünlich, blau oder violett,. Häufig kommen auch Bänderungen, Flecken oder Maserungen vor, die auf die unterschiedliche Färbung der einzelnen Ablagerungsschichten zurückzuführen sind. Der Hauptbestandteil der meisten Sandsteine ist Quarz, weitere häufig auftretende Minerale sind Feldspat und Glimmer.",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 226-231.",LEIZA,,,
DB13B8,8,Q2,Tonstein,,,"klastisches Sedimentgestein, welches hauptsächlich aus Tonmineralen besteht. Häufig werden Tonsteine durch Ablagerung von Illit, Montomorillonit und/oder Chlorit leicht schiefrig ausgebildet. Die Farbigkeit liegt bei grau, blau, grünlich, rotbraun, schwarz oder verschiedenfarbig gefleckt. Tonsteine weisen in der Regel eine außerordentliche Feinkörnigkeit auf, wodurch der Bruch selbst bei beachtlicher Beimengung von Quarz oder Glimmer durchwegs homogen wirkt. Die Struktur der Tonsteine ist meist weich und krümelig, zeigt jedoch eine höhere Härte als Schieferton. Die Oberfläche ist von einem seidigen Glanz.",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 231 - 235.| DIN EN 12670",LEIZA,,,
G636F1,8,Q2,Schieferton,Schiefer,,"Eine besonders feinplattig ausgebildete Art des Tonsteins. Schieferton zeichnet sich durch eine ausgeprägte Schieferung und Spaltbarkeit aus, die durch gerichteten Druck während der Diagenese entsteht. Die Struktur ist blättrig oder leistenförmig ausgebildet. Schiefertone sind deutlich weicher als Tonsteine und zeigen eine stumpfen Oberflächenbeschaffenheit.",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 231 - 235.",LEIZA,,,
CB4C3C,8,Q2,Kalksinter,,,"sedimentäres Gestein, das durch Ablagerung von Kalk aus kalkhaltigem Wasser entsteht. Häufig tritt Kalksinter auch als oberflächliche Ablagerung/Überzug (z.B. auf bodengelagerten Objekten) auf. In Höhlen kann es unter den richtigen Bedingungen zur Bildung von Tropfsteinen aus Kalksinter kommen. ",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 239/240.",LEIZA,,,
B8224D,8,Q2,Kalkstein,,,"sedimentäres Gestein, welches durch die Verfestigung von Kalkschlämmen (Calcit und/oder Aragonit) oder durch mechanisch sedimentierten Klasten verschiedener Herkunft gebildet wird. Auch die Bildung durch direkte biogene Anlagerung unter Beteiligung von pflanzlichen Organismen ist möglich. Die Farbigkeit kann sehr unterschiedlich sein, wenn auch weißlich, gelblich oder graue Farbtöne am häufigsten vorkommen. ",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995),S. 240 - 245.",LEIZA,,,
GGCA4G,8,Q2,Dolomit (Gestein),,,"großbkörniges, sedimentäres Gestein, das hauptsächlich aus dem gleichnamigen Mineral besteht. Die genaue Bildung von Dolomit ist nicht geklärt, jedoch kommen sie ausschließlich in marinen Sedimentabfolgen vor. Farbe, Korngröße und Gefüge ähneln den Kalksteinen, jedoch ist Dolomit härter und weniger reaktiv gegenüber Säuren. ",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 248/249.| DIN EN 12670",LEIZA,,,
GG4BF9,8,Q2,Bentonit,,,"polymineralisches Sedimentgestein, welches durch die Verwitterung von vulkanischer Asche oder Gläsern entsteht. Hauptbestandteil ist das Mineral Montmorillonit, mit Beimengungen von u.A. Quarz, Feldspäten, Pyrit und Biotit. Abhängig von der mineralischen Zusammensetzung treten Farben zwischen weiß, gelb, grünlich, grau bis braun auf.  Bentonit ist ein sehr weiches Gestein mit einer körnigen Textur und einem matten Oberflächenglanz",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 200.",LEIZA,,,
ACD56G,8,Q2,eisenreiches Sedimentit,Eisenerz|Eisenformation,,"sedimentäres Gestein mit einem Eisengehalt von mehr als 15%. Als eisenmineralien sind häufig u.A. Limonit, Hämatit, Magnetit, Siderit und/oder Pyrit enthalten. ",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 256.",LEIZA,,,
G734B3,8,Q2,Gips (Gestein),Gipsstein,,"hauptsächlich in weißen Färbungen vorkommendes Gestein, aber auch gelbe, rote, braune, graue bis schwarze Färbungen sind möglich. Bei Gips wird der Name sowohl für das Gestein, als auch das Mineral gleichermaßen verwendet. Gips als Gestein tritt häufig in Wechsellagerung mit Steinsalz, Dolomiten und bituminösen Tongesteinen auf. Die Strukur des Gipses als Gestein zeigt häufig eine stark gewellte, verbogene Schichtung (""Gekrösegips""). Im Gegensatz zu Kalkstein oder Dolomit ist Gips deutlich weicher und kann daher durch Härteprüfung leicht von diesen unterschieden werden.",C7F346,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 236/267.",LEIZA,,,
ABB166,7,Q2,Metamorphit,metamorphoses Gestein,,"Überbegriff für Gesteine, die durch Umwandlung anderer Gesteine (z.B. Magmatite oder Sedimentgesteine) in den Tiefen der Erdkruste, aufgrund des dort herrschenden Drucks und steigenden Temperaturen, entstanden sind. ",D866AD,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 271/272.",LEIZA,,,
F85G77,8,Q2,Amphibolit,Hornblendegestein,,"metamorphes Gestein, welches hauptsächlich aus Amphibolen und Feldspat besteht. Aufgrund des besonders hohen Vorkommens von Hornblende als Hauptbestandteil, wird der Amphibolit im deutschsprachigen Raum auch als Hornblendegestein bezeichnet. Je nach Zusammensetzung sind grau, graugrüne oder schwarzgrüne Farbigkeiten möglich, wobei durch einen hohen Anteil von Plagioklasen-Feldspäten auch ein weiß gepunktetes Aussehen zu finden ist. Die Textur ist als kristallin bis schiefrig zu bezeichnen mit mittel- bis grobkörnigen Korngrößen.",ABB166,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 309- 311.| DIN EN 12670",LEIZA,,,
G63684,8,Q2,Serpentinit,,,"metamorphes Gestein mit den mineralischen Hauptbestandteilen Serpentin, Olivin und Pyroxen. Zeigt häufig hell grünlich-graue bis dunkelgrüne Färbungen, aber auch rötliche Töne im Falle von Mangan-Gehalten. Auch fleckige, gebändert bis gestreifte oder völlig unregelmäßige Farbgebungen sind möglich. Die Textur kann schuppig, stumpf oder seidig-glänzend sein. ",ABB166,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 168, 279.",LEIZA,,,
BAB939,8,Q2,Marmor,,,"metamorphes Gestein, welches überwiegend aus Calcit und/oder Dolomit besteht und durch unterschiedliche Metamorphosebedingungen entstanden sein kann. Die Farbigkeit kann von schneeweiß über grau, schwarz, blassgelb, braun, rosa, dunkelrot, bläulich, lila bis grünlich reichen. Häufig sind Mehrfarbigkeiten in Form von Flecken, einheitlichen Bänderungen oder willkürliche ""Marmorierung"" zu beobachten. In der Industrie werden häufig alle Karbonatgesteine als ""Marmor"" bezeichnet, in der hier vorliegenden Definition ist jedoch die streng petrographische Definition des Begriffs, als Gestein mit kristallinem Gefüge das eine Metamorphose erfahren hat, gemeint. ",ABB166,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995),S. 295-298.",LEIZA,,,
D6959D,8,Q2,Quarzit,,,"metamorphoses Gestein, welches zu mindestens 80% aus Quarz besteht. Die metamorphosen Bedingungen, unter denen sich der Quarzit bildet, können dabei ganz unterschiedlich sein. Durch den hohen Quarzanteil tritt der Quarzit vorallem in weißlicher Farbe auf, kann jedoch auch in jeder anderen Farbe, wie grau, rot oder braun, vorkommen. Die Struktur und Textur ist fein lamelliert bis massig und Schieferungen sind undeutlich ausgebildet oder fehlen ganz. ",ABB166,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995),S. 298/299.",LEIZA,,,
DF1279,8,Q2,Speckstein,Steatit,,"metamorphoses Gestein, das nahezu ausschließlich aus dem Mineral Talk besteht. Speckstein zeichnet sich, aufgrund des hohen Talkgehaltes, durch seine Weichheit, leichte Bearbeitbarkeit und eine glatte, fettige Oberfläche aus. Die Farbe ist meist lichtgrau. ",ABB166,,"R. Dietrich/ B. Skinner, Die Gesteine und ihre Mineralien. Ein Einführungs- und Bestimmungsbuch2 (Thun 1995), S. 308/309.",LEIZA,,,
C4BCF8,0,Q2,Zustandserfassung,Zustandserhebung,Condition assessment@en,methodische Untersuchung zur Ermittlung und Einschätzung des Erhaltungszustandes eines Objektes zu einem definierten Zeitpunkt ,top,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",LEIZA,http://terminology.lido-schema.org/lido00931,,
D9G51G,1,Q2,Erhaltungszustand,Zustand| Ist-Zustand,,Zustand eines Objektes zu einem bestimmten Zeitpunkt. Wird durch verschiedene zur Verfügung stehende Objektuntersuchungen ermittelt und durch die dabei festgestellten Ergebnisse/Beobachtungen beschrieben. Auch die bisherige Lagerung eines Objektes gibt erste Hinweise auf den zu erwartenden Erhaltungszustund ,C4BCF8,,"DIN EN 15898:2020-02, Erhaltung des kulturellen Erbes - Allgemeine Begriffe; Dreisprachige Fassung EN 15898:2019, Deutsches Institut für Normung.",LEIZA,,,
